iter	Passed	Remaining
0	1	121
1	2	105
2	3	100
3	3	92
4	4	90
5	5	89
6	8	116
7	10	115
8	11	112
9	12	109
10	13	105
11	13	102
12	14	99
13	15	97
14	16	94
15	17	92
16	18	90
17	19	88
18	20	86
19	23	92
20	24	91
21	25	89
22	26	88
23	27	86
24	28	84
25	29	82
26	29	81
27	30	79
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	38	74
34	39	74
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	47	60
44	48	59
45	49	58
46	50	57
47	54	59
48	56	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	91	20
82	92	19
83	93	17
84	94	16
85	98	15
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	106	9
92	107	8
93	108	6
94	109	5
95	113	4
96	114	3
97	116	2
98	118	1
99	119	0
